Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mobile cellular subscriptions,IT.CEL.SETS,Croatia,HRV,2835500,3649700,4395200,5034582,4554777,4675017,4928352,5115140,4971351,4721015,4461352,4415660,4414347,4315580,4388476,4404652,4375699,4402213,4480469,..
Mobile cellular subscriptions,IT.CEL.SETS,Cyprus,CYP,658234,782503,867785,988312,1016739,977521,1034071,1090944,1110935,1099621,1110802,1111123,1133780,1176801,1200378,1243151,1239960,1320794,1392480,..
Mobile cellular subscriptions,IT.CEL.SETS,Czechia,CZE,10782567,11775878,12406199,13228631,13780165,13062617,12934100,13167700,13521900,13719300,13913100,12454575.01,12485045,12636359,12704262,13101360,12999812,13286894,13475347,..
Mobile cellular subscriptions,IT.CEL.SETS,Denmark,DNK,5166912,5449206,5828157,6308000,6556988,6833683,6420790,7173185,7292756,7031152,7160233,7079249,6985035,7140859,7216215,7243465,7252675,7363597,7443962,..
Mobile cellular subscriptions,IT.CEL.SETS,Estonia,EST,1255731,1445300,1658700,1681849,1624465,1570538,1652809,1806075,1999750,1927423,1897551,1903545,1897921,1904425,1924034,1951051,1925789,1980838,2055794,..
Mobile cellular subscriptions,IT.CEL.SETS,Faroe Islands,FRO,41298,42032,49965,52169,54860,56993,59446,58475,58722,57751,58282,53213,54487,56619,56792,54959,59213,59213,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Finland,FIN,4988000,5270000,5670000,6080000,6830000,7700000,8390000,8940000,9320000,7411200,7602600,7396200,7220100,7160000,7150000,7150000,7120000,7150000,7130000,..
Mobile cellular subscriptions,IT.CEL.SETS,France,FRA,44544000,48088000,51662000,55358100,57972000,57918000,57785000,59816000,62260000,63324000,65425000,66681000,67571000,69018000,70422000,72040000,72751000,75304000,76807000,..
Mobile cellular subscriptions,IT.CEL.SETS,Georgia,GEO,840645,1174308,1703888,2599714,2755087,2837000,3978242,4430344,4698582,4993119,5400766,5550730,5531875,5502395,5459239,5382059,5100101,5552599,5844482,..
Mobile cellular subscriptions,IT.CEL.SETS,Germany,DEU,71322000,79271000,85652000,96232925,105523065,105000000,88400000,90900000,92400000,100034000,99530000,96360000,103470000,109700000,107500000,107200000,107400000,106400000,104400000,..
Mobile cellular subscriptions,IT.CEL.SETS,Gibraltar,GIB,18392,20000,22000,24000,26000,28600,30000,32500,34750,..,38000,41441,41136,41035,41045,40537,35438,34149,36708,..
Mobile cellular subscriptions,IT.CEL.SETS,Greece,GRC,9324335,10260396,10979826,12294912,13799340,13295093,12292716,12127985,13360280,12518645,12144598,12566649,12538927,12937106,12170757,11882081,11412995,11494008,11326179,..
Mobile cellular subscriptions,IT.CEL.SETS,Greenland,GRL,39033,46480,53900,66400,55816,53468,57349,58742,59455,60400,60800,61000,..,62320,61394,61656,65958,66605,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Hungary,HUN,8727188,9320000,9965720,11029930,12224163,11792475,12011823,11689937,11579425,11590326,11726491,9900582,9952001,9945037,10041939,10272694,10332660,10382460,10371597,..
Mobile cellular subscriptions,IT.CEL.SETS,Iceland,ISL,290068,283108,301922,326098,336922,339715,341077,344085,352114,356264,370047,383919,401613,401231,411361,413446,421384,437270,456864,..
Mobile cellular subscriptions,IT.CEL.SETS,Ireland,IRL,3860000,4270000,4690135,4970719,5048127,4704497,4701474,4906352,5013676,4880792,4912620,4902009,4875116,4898872,4971493,5160309,5234009,5373865,5690017,..
Mobile cellular subscriptions,IT.CEL.SETS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Italy,ITA,62750000,71500000,80418000,89801000,90341000,90032886,93666088,96040913,97188624,96863107,89914609,87691238,85955905,83871543,83342486,79480756,77581048,78114933,78502853,..
Mobile cellular subscriptions,IT.CEL.SETS,Kazakhstan,KAZ,2447000,5398000,7775737,12322676,14910573,17063200,19402600,25240800,30235400,30364900,28595600,26309300,25534800,26693300,26065600,25717700,24293900,24471000,25299000,..
Mobile cellular subscriptions,IT.CEL.SETS,Kosovo,XKX,..,562000,562000,562000,562000,562000,562000,..,..,..,..,..,..,..,..,..,..,..,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Kyrgyz Republic,KGZ,263375,541652,1261757,2168329,3394016,4487123,5275477,6277108,6797852,6737487,7563444,7579439,7613528,8467966,8735246,8622565,8511000,8511000,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Latvia,LVA,1536712,1871602,2183696,2217008,2298610,2303600,2306100,2309000,2630873,2558000,2384000,2590000,2650273,2464122,2070180,2071652,2051359,2161725,2167034,..
Mobile cellular subscriptions,IT.CEL.SETS,Liechtenstein,LIE,25500,27503,28755,32013,34000,35000,35500,36970,36080,38427,40652,40950,44298,46402,47272,47748,48887,49223,49662,..
Mobile cellular subscriptions,IT.CEL.SETS,Lithuania,LTU,3051160,4353447,4718215,4912077,5022638,4961499,4890979,4938000,4997265,4565976,4267592,4184053,4204692,4361329,3764670,3704258,3671995,3726653,3826338,..
Mobile cellular subscriptions,IT.CEL.SETS,Luxembourg,LUX,470000,510000,713000,684500,707000,720000,727000,764973,761314,788371,802400,806800,764000,794000,798600,817810,838120,876350,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Moldova,MDA,787000,1089800,1358152,1882830,2423416,2136409,2550592,3217261,3584283,3696834,3738125,3713137,3788490,3746644,3636931,3613846,3420383,3900179,4170329,..
Mobile cellular subscriptions,IT.CEL.SETS,Monaco,MCO,15750,17191,18307,20400,22000,23000,23414,31789,33195,35464,33675,34020,33297,32978,32689,33783,35485,37426,38955,..
Mobile cellular subscriptions,IT.CEL.SETS,Montenegro,MNE,483766,543220,643681,900000,1158032,1294167,1170000,1159112,990869,993902,1013296,1007890,1040747,1044674,1134412,1150998,1080089,1120074,1274031,..
Mobile cellular subscriptions,IT.CEL.SETS,Netherlands,NLD,14800000,15834000,17296000,19285000,20627000,20149000,19179000,19829309,19717000,19467000,19562000,20809054,20890000,20532000,21108000,21762000,21415000,21888000,20737000,..
Mobile cellular subscriptions,IT.CEL.SETS,North Macedonia,MKD,985600,1131006,1263841,1794433,1967531,1943216,2153425,2213223,2235460,2237250,2224439,2083583,2050494,2008008,1969109,1921013,1862138,1941352,2048236,..
Mobile cellular subscriptions,IT.CEL.SETS,Norway,NOR,4524750,4754453,4868916,5037650,5211207,5354554,5599286,5725447,5797502,5692052,5737961,5714890,5729569,5719665,5720892,5775830,5825584,5926491,6014642,..
Mobile cellular subscriptions,IT.CEL.SETS,Poland,POL,23096065,29166391,36745454,41388774,43926365,44806632,46952111,50160222,54086209,56972803,56905306,54537230,53001776,50458854,48285544,48392944,49350724,50588734,52589287,..
Mobile cellular subscriptions,IT.CEL.SETS,Portugal,PRT,10571100,11447313,12226439,13477414,14049187,11795080,12210377,12334595,11917565,11990993,11895627,11714693,11572085,11764106,11859548,11909751,11851054,12445113,12792302,..
Mobile cellular subscriptions,IT.CEL.SETS,Romania,ROU,10215388,13354138,15991000,20400000,24470000,25100000,24360000,23420000,22840000,22910000,22920000,23120000,22900000,22400000,22634000,22671000,22588000,22929000,23219000,..
Mobile cellular subscriptions,IT.CEL.SETS,Russian Federation,RUS,73722222,120000000,150674000,171200000,199522340,230050000,237689224,203751647,208065063,218300372,221030353,227288088,229126152,227299663,229431008,239795946,238733217,246569033,245266945,..
Mobile cellular subscriptions,IT.CEL.SETS,San Marino,SMR,17085,17150,17390,17500,24402,29949,30587,35465,36000,36780,37600,36624,36570,38000,38500,38750,39000,40000,41000,..
Mobile cellular subscriptions,IT.CEL.SETS,Serbia,SRB,4729629,5510690,6643722,8452642,9618767,9912339,9915348,10182023,9137894,9198717,9344977,9155664,9094447,8621771,8431365,8453887,8260758,8501519,8621147,..
Mobile cellular subscriptions,IT.CEL.SETS,Slovak Republic,SVK,4275164,4540374,4893232,6068063,5520043,5497719,5925012,5983059,6094466,6208412,6378095,6675553,6989902,7117753,7241702,7399534,7289707,7362325,7445151,..
Mobile cellular subscriptions,IT.CEL.SETS,Slovenia,SVN,1848637,1759232,1819572,1928412,2054899,2100435,2121950,2168548,2241160,2283573,2326386,2353926,2385757,2443172,2465857,2511979,2550895,2607268,2674900,..
Mobile cellular subscriptions,IT.CEL.SETS,Spain,ESP,38622582,42694115,45695061,48422470,49623339,51052693,51389417,52590507,50665099,50158689,50806251,51067770,51521507,52506928,54161014,55354944,55647705,56805348,59019998,..
Mobile cellular subscriptions,IT.CEL.SETS,Sweden,SWE,8785000,9104000,9607000,10116852,10014000,10440000,10992407,11454252,11848449,12014368,12312533,12638827,12543188,12519313,12626282,12895854,12791840,13015553,13194189,..
Mobile cellular subscriptions,IT.CEL.SETS,Switzerland,CHE,6274763,6834233,7436157,8208884,8896706,9322580,9644157,10082636,10561075,11048637,11150000,11243210,11242105,11088598,10788602,10886648,11006060,10728129,10450200,..
Mobile cellular subscriptions,IT.CEL.SETS,Tajikistan,TJK,135000,265000,2150000,2132770,3673520,4900000,5940842,6324000,6528000,7537100,7999100,8489000,9400000,9904000,10000000,10995000,11584000,11584000,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Turkiye,TUR,34707549,43608965,52662700,61975807,65824110,62779554,61769635,65321745,67680547,69661108,71888416,73639261,75061699,77800170,80117999,80790877,82128104,86288834,90297565,..
Mobile cellular subscriptions,IT.CEL.SETS,Turkmenistan,TKM,50100,105000,216868,381670,1135150,2132890,3197624,5300000,5900000,6125300,7206100,7842000,8575000,9377000,5841751,6001755,6164777,6254681,..,..
Mobile cellular subscriptions,IT.CEL.SETS,Ukraine,UKR,13735000,30013500,49076239,55240400,55681476,54942815,53928830,55576481,59343693,62458800,61170229,60720073,56717856,55714733,53933592,54842940,53977690,55925908,49304301,..
Mobile cellular subscriptions,IT.CEL.SETS,United Kingdom,GBR,59687915,65471665,70077926,73836210,74940937,76481053,76729827,77162298,78329355,78673978,78460684,79250793,78931386,79099000,78891000,80701000,79007000,79773000,81563700,..
Mobile cellular subscriptions,IT.CEL.SETS,Uzbekistan,UZB,544100,720000,2530365,5691458,12375274,16417914,20952000,25441789,20274090,21500000,21639200,21783300,23265389,24265460,23226156,33380000,33387000,35069000,35690069,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/30/2024,,,,,,,,,,,,,,,,,,,,,,,
